Name,Address,Postalcode,X-COORDINATES,Y-COORDINATES
The Jade,9 Bukit Batok Central Link 658074 Singapore,658074,18606.028,36791.3262
The LadyHill,1 Lady Hill Road 258670 Singapore,258670,27078.6816,32527.0592
The Levelz,38 Farrer Road 268836 Singapore,268836,24848.0495,32869.2674
The Light at Cairnhill,19 Cairnhill Circle 229768 Singapore,229768,28566.9706,32085.9371
The Linc,7 Lincoln Road 308346 Singapore,308346,29022.3572,32975.645
The Linear,880 Upper Bukit Timah Road 678181 Singapore,678181,20157.3186,39709.7801
The Luxe (Residential),6 Handy Road 229234 Singapore,229234,29543.2634,31334.2076
The Marbella,29 Mount Sinai Rise 276952 Singapore,276952,21929.7109,33000.8045
The Mayfair,1 Jurong East Street 32 609477 Singapore,609477,16882.4372,36353.6311
The Maylea,242E Pasir Panjang Road 117494 Singapore,117494,22671.8789,29218.4288
The Meadows,637A-642D  Punggol Drive 821637 Singapore,821637,37045.1992,42396.6873
The Merlot,101 Keng Lee Road 219261 Singapore,219261,29448.4878,32947.3774
The Metropolitan Condominium,8 Alexandra View 158747 Singapore,158747,26074.4211,30319.9537
The Mornington,16 Saint Michael's Road 328005 Singapore,328005,31413.819,34268.4544
The Naturalis,2 Lorong M Telok Kurau 425279 Singapore,425279,36366.5901,32447.1965
The Palette,103 Pasir Ris Grove 518196 Singapore,518196,40403.89,39147.679
The Paterson,63 Paterson Road 238539 Singapore,238539,27696.0988,31424.5767
The Peak @ Toa Payoh,138  Lorong 1A Toa Payoh 310138 Singapore,310138,29277.326,35430.2011
The Pearl @ Mount Faber,3 Mount Faber Road 099207 Singapore,99207,27001.4869,28121.5334
The Pier at Robertson (Residential)  ,80 Mohamed Sultan Road 239013 Singapore,239013,28805.1425,30423.939
The Pinnacle @ Duxton,1 Cantoment Road 080001 Singapore,80001,28883.932,28833.5344
The Quintet,36 Choa Chu Kang Street 64 689101 Singapore,689101,18789.9358,42290.7412
The Residences at W Sentosa Cove,1 Ocean Way 098367 Singapore,98367,28914.2071,25748.0232
The River Vista @ Kallang,38A - D/39 Bendemeer Road 331038 Singapore,331038,31741.6706,33590.8468
The Sail @ Marina Bay ,6 Raffles Boulevard 018985 Singapore,18985,30152.3828,29246.505
The Sentinel,3 Surrey Road 307743 Singapore,307743,28982.2519,33172.0925
The Serenade @ Holland,371 Holland Road 278698 Singapore,278698,22050.4181,33414.7023
The Spring,3 Moulmein Rise 308144 Singapore,308144,29484.3219,33486.8411
The Suites @ Central,57A Devonshire Road 239897 Singapore,239897,28401.4825,31210.6869
The Taipan,25 Jalan Hajijah 468721 Singapore,468721,39308.1533,32734.0454
The Tomlinson,20 Cuscaden Road 249726 Singapore,249726,27194.4032,31861.1765
The Trumps,1 Jalan Kembangan 419154 Singapore,419154,36921.9904,33587.4407
The View @ Meyer,46 Meyer Road 437871 Singapore,437871,33979.7562,31179.6951
The Vines,12 Lorong Sarina 416736 Singapore,416736,36312.5044,33516.9359
